City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,inhambane,-23.865,35.3833,297.61,74,90,4.13,MZ,1698005228
183,tazacorte,28.629,-17.9293,295.69,73,20,2.24,ES,1698005228
184,ridgecrest,35.6225,-117.6709,301.49,25,0,5.81,US,1698005228
185,ain sukhna,29.6002,32.3167,296.27,80,0,2.05,EG,1698005228
186,kingston,17.997,-76.7936,304.68,71,40,5.14,JM,1698005077
187,muang xay,20.7,101.9833,292.17,85,81,0.77,LA,1698005228
188,kudahuvadhoo,2.6708,72.8944,300.1,74,96,0.82,MV,1698005229
189,touros,-5.1989,-35.4608,299.39,72,100,6.89,BR,1698005215
190,waingapu,-9.6567,120.2641,298.11,77,7,1.99,ID,1698005229
191,balykshi,47.0667,51.8667,273.15,86,0,2.0,KZ,1698005229
192,boca suno,-0.7167,-77.1333,306.92,36,92,1.68,EC,1698005229
193,shimoda,34.6667,138.95,285.43,64,100,3.01,JP,1698005229
194,okhotsk,59.3833,143.3,271.45,84,86,6.24,RU,1698005230
195,arrifes,37.7667,-25.7,290.33,68,20,4.12,PT,1698005230
196,tangalle,6.024,80.7911,297.86,89,100,1.67,LK,1698005230
197,udachny,66.4167,112.4,267.46,95,100,5.32,RU,1698005230
198,nova sintra,14.8667,-24.7167,296.73,76,29,5.94,CV,1698005230
199,laguna de perlas,12.3429,-83.6712,300.34,88,100,4.85,NI,1698005230
200,san antonio de pale,-1.4014,5.6325,299.13,83,71,6.89,GQ,1698005230
201,cape canaveral,28.4058,-80.6048,303.26,39,20,0.0,US,1698005231
202,san patricio,28.017,-97.5169,305.12,44,95,6.64,US,1698005231
203,neiafu,-18.65,-173.9833,300.53,69,20,1.03,TO,1698005231
204,ghadamis,30.1337,9.5007,300.74,22,0,0.82,LY,1698005231
205,saint-joseph,-21.3667,55.6167,293.41,78,17,3.14,RE,1698005231
206,alofi,-19.0595,-169.9187,300.09,74,40,3.6,NU,1698005231
207,vieste,41.8825,16.175,294.0,71,75,3.42,IT,1698005231
208,bouca,6.5105,18.2733,297.35,83,83,1.54,CF,1698005232
209,floro,61.5996,5.0328,281.13,71,0,2.57,NO,1698005232
210,kristiansund,63.1115,7.732,280.51,65,75,1.54,NO,1698005232
211,laurentides,46.4334,-74.9826,279.1,93,100,4.34,CA,1698005232
212,new norfolk,-42.7826,147.0587,285.88,96,99,1.49,AU,1698005232
213,guadalupe victoria,32.2869,-115.105,308.68,15,0,1.35,MX,1698005232
214,kichmengskiy gorodok,59.9816,45.7854,270.16,97,29,2.58,RU,1698005232
215,sorong,-0.8833,131.25,298.67,89,93,2.84,ID,1698005232
216,hamilton,39.1834,-84.5333,289.22,55,0,2.57,US,1698005079
217,badger,64.8,-147.5333,268.14,84,100,2.06,US,1698005233
218,zaragoza,41.6561,-0.8773,289.83,61,100,5.66,ES,1698005071
219,horta,38.5333,-28.6333,290.95,77,20,3.6,PT,1698005233
220,galliano,29.4422,-90.2992,304.26,51,0,1.54,US,1698005233
221,usogorsk,63.4106,48.6872,271.96,91,100,3.74,RU,1698005233
222,busan,35.1028,129.0403,287.45,59,10,2.53,KR,1698005233
223,atafu village,-8.5421,-172.5159,301.36,72,100,2.87,TK,1698005233
224,muroto-misakicho,33.2833,134.15,291.1,62,84,2.3,JP,1698005234
225,douz,33.4663,9.0203,297.56,43,0,3.91,TN,1698005048
226,hithadhoo,-0.6,73.0833,300.02,76,67,5.45,MV,1698005234
227,chonchi,-42.6128,-73.8092,288.71,43,1,1.63,CL,1698005234
228,ouarzazat,30.9189,-6.8934,290.77,48,3,3.51,MA,1698005234
229,mccomb,31.2438,-90.4531,303.72,32,0,2.57,US,1698005234
230,brokopondo,4.75,-55.1667,303.13,63,70,2.41,SR,1698005235
231,kapsan-up,41.0903,128.2933,274.99,88,0,0.18,KP,1698005235
232,sherbakul',54.6316,72.3963,272.5,80,100,9.76,RU,1698005235
233,bovril,-31.3431,-59.4451,295.32,94,100,5.99,AR,1698005235
234,susuman,62.7833,148.1667,255.96,99,75,0.56,RU,1698005235
235,cold lake,54.4502,-110.2017,273.76,49,100,3.9,CA,1698005235
236,al kharijah,25.4514,30.5464,297.04,37,0,3.97,EG,1698005236
237,mount isa,-20.7333,139.5,289.02,39,0,0.0,AU,1698005236
238,azna,33.6095,48.9307,287.04,26,100,0.35,IR,1698005236
239,bathsheba,13.2167,-59.5167,303.49,74,20,4.12,BB,1698005236
240,bazar-korgon,41.0376,72.7459,286.22,45,100,0.84,KG,1698005209
241,malango,-2.9627,119.9001,291.15,95,41,1.28,ID,1698005236
242,jamestown,42.097,-79.2353,282.92,64,75,8.75,US,1698005223
243,nadi,-17.8,177.4167,300.15,74,75,4.12,FJ,1698005236
244,wieprz,49.8909,19.3569,285.46,100,10,3.16,PL,1698005237
245,gurghiu,46.7667,24.85,287.29,68,17,0.37,RO,1698005237
246,nova vicosa,-17.8919,-39.3719,297.54,71,93,4.68,BR,1698005101
247,dergachi,51.2328,48.7659,277.33,53,100,2.21,RU,1698005237
248,ahvaz,31.3203,48.6693,301.12,28,0,3.09,IR,1698005237
249,talnakh,69.4865,88.3972,270.98,95,100,5.93,RU,1698005237
250,tsiombe,-25.3,45.4833,295.71,73,0,1.78,MG,1698005237
251,vorgashor,67.5833,63.95,268.26,95,100,3.62,RU,1698005238
252,avarua,-21.2078,-159.775,299.18,83,26,3.09,CK,1698005238
253,yongchuan,29.3514,105.8947,292.28,69,100,1.49,CN,1698005238
254,verkhnevilyuysk,63.4453,120.3167,270.16,97,100,2.29,RU,1698005238
255,serenje,-13.2325,30.2352,292.54,79,100,1.25,ZM,1698005238
256,prince george,53.9166,-122.753,272.84,100,100,1.54,CA,1698004977
257,arafat,21.3594,39.9664,302.46,56,0,1.33,SA,1698005238
258,bereket,39.2446,55.5154,292.51,74,100,2.25,TM,1698005239
259,udaipur,24.5712,73.6918,296.24,38,3,1.4,IN,1698005239
260,konstantinovka,49.6167,127.9833,274.55,62,0,2.62,RU,1698005239
261,pathein,16.7833,94.7333,296.8,94,71,1.86,MM,1698005239
